OTU	G.FITS2.18	G.FITS2.12	G.FITS2.20	G.FITS2.15	G.FITS2.19	G.FITS2.13	G.FITS2.11	C.FITS2.19	G.FITS2.17	C.FITS2.20	D.FITS2.17	G.FITS2.16	G.FITS2.14	E.FITS2.15	E.FITS2.11	B.FITS2.10	B.FITS2.19	B.FITS2.20	B.FITS2.7	B.FITS2.6	B.FITS2.8	B.FITS2.9	F.FITS2.16	F.FITS2.18	F.FITS2.17	F.FITS2.19	F.FITS2.20	E.FITS2.14	E.FITS2.12	D.FITS2.19	D.FITS2.20	E.FITS2.13	D.FITS2.18	B.FITS2.18	taxonomy
Species_1834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Phaeosphaeriaceae
Species_1664	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales sp
Species_191	0.0	0.0	3.0	1.0	0.0	1.0	15.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium
Species_2326	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	2.0	2.0	1.0	2.0	1988.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Peronospora; s__Peronospora sp. KUS-F26431
Species_262	2.0	0.0	29.0	0.0	5.0	0.0	0.0	7.0	0.0	3.0	1.0	0.0	8.0	0.0	1.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	19.0	1.0	12.0	4.0	2.0	0.0	3.0	1.0	6.0	0.0	1.0	0.0	k__Fungi; p__Basidiomycota; c__Incertae sedis; o__Malasseziales; f__Incertae sedis; g__Malassezia; s__Malassezia restricta
Species_542	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Diaporthales; f__Gnomoniaceae; g__Cryptosporella; s__Cryptosporella alni_sinuatae
Species_1662	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales
Species_574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Verrucariales; f__Verrucariaceae; g__Verrucaria; s__Verrucaria sp
Species_170	0.0	0.0	0.0	0.0	5.0	190.0	0.0	309.0	3.0	8.0	360.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	114.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae sedis; g__Myrothecium; s__Myrothecium sp HZ_6
Species_1901	0.0	0.0	0.0	0.0	0.0	11.0	1.0	0.0	1.0	0.0	0.0	3.0	0.0	13.0	0.0	0.0	72.0	195.0	101.0	4.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Sclerotiniaceae; g__Botrytis; s__Botrytis caroliniana
Species_232	2.0	5.0	7.0	32.0	2.0	4.0	1.0	0.0	4.0	0.0	38.0	3.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	2.0	0.0	2.0	0.0	1.0	0.0	k__Chromalveolata; p__Stramenopiles; c__Oomycetes
